Date,Price,Open,High,Low,Vol.,Return
1/12/2024,538.7578,535.7093,546.7249,529.7613,,0.0057
1/11/2024,535.7093,534.2032,549.8744,525.419,,0.0028
1/10/2024,534.2031,532.8835,567.829,525.3831,,0.0025
1/9/2024,532.8835,536.7498,544.344,502.4482,,-0.0072
1/8/2024,536.7498,551.4392,555.8704,521.813,,-0.0266
1/7/2024,551.4392,578.3854,592.2092,537.7592,,-0.0466
1/6/2024,578.3853,573.2755,585.8961,555.777,,0.0089
1/5/2024,573.2754,586.1664,595.5449,570.0653,,-0.022
1/4/2024,586.1663,582.4786,606.8108,579.7365,,0.0063
1/3/2024,582.4785,557.9317,583.762,555.6782,,0.044
1/2/2024,557.9317,555.0681,562.291,536.0598,,0.0052
1/1/2024,555.0681,535.6413,566.1497,525.7714,,0.0363
1/12/2023,535.6413,555.7702,558.6791,516.4174,,-0.0362
1/11/2023,555.7702,576.9723,588.9501,545.3878,,-0.0367
1/10/2023,576.9723,609.6176,613.3291,570.4147,,-0.0536
1/9/2023,609.6686,591.4241,623.5565,591.1649,,0.0308
1/8/2023,591.4241,593.3337,600.3182,571.3829,,-0.0033
1/7/2023,593.4022,540.4607,593.7573,536.3137,,0.098
1/6/2023,540.4607,528.2247,560.1093,525.1689,,0.0232
1/5/2023,528.2247,564.9675,564.9675,521.6278,,-0.065
1/4/2023,564.9676,574.0241,599.2268,552.037,,-0.0158
1/3/2023,574.0241,581.8661,597.4176,529.7278,,-0.0135
1/2/2023,581.8661,606.0573,608.8233,564.5502,,-0.0399
1/1/2023,606.0573,610.105,622.1381,569.2053,,-0.0066
1/12/2022,610.0719,621.1091,632.3582,568.9138,,-0.0178
1/11/2022,621.1091,636.8439,671.0861,591.066,,-0.0247
1/10/2022,636.8439,607.7575,671.4729,607.7575,,0.0479
1/9/2022,607.7575,665.9277,665.9277,591.8181,,-0.0874
1/8/2022,665.9277,692.6372,703.1581,637.4427,,-0.0386
1/7/2022,692.6372,709.2296,730.5977,632.85,,-0.0234
1/6/2022,709.2296,786.4548,825.3839,709.2171,,-0.0982
1/5/2022,786.4548,756.7522,813.3317,717.8473,,0.0393
1/4/2022,756.7522,724.1862,784.1002,700.2496,,0.045
1/3/2022,724.1862,673.0486,853.2746,673.0486,,0.076
1/2/2022,673.0487,623.7843,700.0093,618.9357,,0.079
1/1/2022,623.7843,561.1805,628.366,558.4681,,0.1116
1/12/2021,561.1805,522.4442,572.8892,509.0838,,0.0741
1/11/2021,522.4443,588.2094,594.8341,516.3716,,-0.1118
1/10/2021,588.2094,557.7056,599.8605,555.0723,,0.0547
1/9/2021,557.7057,527.3676,565.1663,520.7402,,0.0575
1/8/2021,527.3677,541.1289,541.2612,493.9939,,-0.0254
1/7/2021,541.129,535.9755,549.5075,504.0913,,0.0096
1/6/2021,535.9755,519.2278,538.1569,512.2907,,0.0323
1/5/2021,519.2278,505.8542,530.4951,499.3808,,0.0264
