Record Date,Security Type Description,Security Class 1 Description,Security Class 2 Description,Interest Rate,Yield,Issue Date,Maturity Date,Interest Payable Date 1,Interest Payable Date 2,Issued Amount (in Millions),Amount Adjusted for Inflation (in Millions),Redeemed Amount (in Millions),Outstanding Amount (in Millions)
RecDate,Type,Desc,CUSIP,Coupon,Yield,IssueDate,MatureDate,IntDate1,IntDate2,IssueAmt,InfAdjAmt,RedeemedAmt,OutstandingAmt
2024-08-31,Marketable,Bills Maturity Value,912797LK1,null,5.23,2024-08-06,2024-10-01,10/24,null,85267.5356,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LA3,null,5.245,2024-05-07,2024-09-03,09/24,null,60190.8239,0,0,230673.7146
2024-08-31,Marketable,Bills Maturity Value,912797LA3,null,5.275,2024-07-09,2024-09-03,09/24,null,80213.9748,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LA3,null,5.285,2024-08-06,2024-09-03,09/24,null,90268.9159,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797GL5,null,5.12,2023-09-07,2024-09-05,09/24,null,43129.0158,0,0,254181.4368
2024-08-31,Marketable,Bills Maturity Value,912797GL5,null,5.105,2024-03-07,2024-09-05,09/24,null,70271.7548,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797GL5,null,5.25,2024-06-06,2024-09-05,09/24,null,70779.3575,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797GL5,null,5.27,2024-07-25,2024-09-05,09/24,null,70001.3087,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LG0,null,5.24,2024-05-14,2024-09-10,09/24,null,60175.5242,0,0,240675.2989
2024-08-31,Marketable,Bills Maturity Value,912797LG0,null,5.26,2024-07-16,2024-09-10,09/24,null,85216.1862,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LG0,null,5.285,2024-08-13,2024-09-10,09/24,null,95283.5885,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KK2,null,5.1,2024-03-14,2024-09-12,09/24,null,70292.7446,0,0,246791.866
2024-08-31,Marketable,Bills Maturity Value,912797KK2,null,5.25,2024-06-13,2024-09-12,09/24,null,71496.9461,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KK2,null,5.28,2024-08-01,2024-09-12,09/24,null,70001.9473,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KK2,null,5.26,2024-08-27,2024-09-12,09/24,null,35000.228,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LH8,null,5.235,2024-05-21,2024-09-17,09/24,null,60184.9946,0,0,240684.5185
2024-08-31,Marketable,Bills Maturity Value,912797LH8,null,5.26,2024-07-23,2024-09-17,09/24,null,85236.5526,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LH8,null,5.26,2024-08-20,2024-09-17,09/24,null,95262.9713,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KL0,null,5.13,2024-03-21,2024-09-19,09/24,null,70159.4905,0,0,215493.4464
2024-08-31,Marketable,Bills Maturity Value,912797KL0,null,5.25,2024-06-20,2024-09-19,09/24,null,70333.3383,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KL0,null,5.27,2024-08-08,2024-09-19,09/24,null,75000.6176,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LJ4,null,5.235,2024-05-28,2024-09-24,09/24,null,60213.2518,0,0,240709.1917
2024-08-31,Marketable,Bills Maturity Value,912797LJ4,null,5.26,2024-07-30,2024-09-24,09/24,null,85256.9937,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LJ4,null,5.24,2024-08-27,2024-09-24,09/24,null,95238.9462,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KM8,null,5.105,2024-03-28,2024-09-26,09/24,null,70471.4202,0,0,216886.0044
2024-08-31,Marketable,Bills Maturity Value,912797KM8,null,5.235,2024-06-27,2024-09-26,09/24,null,71414.2982,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KM8,null,5.23,2024-08-15,2024-09-26,09/24,null,75000.286,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LK1,null,5.24,2024-06-04,2024-10-01,10/24,null,60238.2271,0,0,145505.7627
2024-08-31,Marketable,Bills Maturity Value,912797GW1,null,5.185,2023-10-05,2024-10-03,10/24,null,47237.376,0,0,274399.896
2024-08-31,Marketable,Bills Maturity Value,912797GW1,null,5.125,2024-04-04,2024-10-03,10/24,null,74657.349,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797GW1,null,5.24,2024-07-05,2024-10-03,10/24,null,77505.026,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797GW1,null,5.185,2024-08-22,2024-10-03,10/24,null,75000.145,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LS4,null,5.225,2024-06-11,2024-10-08,10/24,null,60244.0264,0,0,150522.3287
2024-08-31,Marketable,Bills Maturity Value,912797LS4,null,5.19,2024-08-13,2024-10-08,10/24,null,90278.3023,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KT3,null,5.12,2024-04-11,2024-10-10,10/24,null,74093.7632,0,0,229366.3047
2024-08-31,Marketable,Bills Maturity Value,912797KT3,null,5.23,2024-07-11,2024-10-10,10/24,null,80271.8173,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KT3,null,5.15,2024-08-29,2024-10-10,10/24,null,75000.7242,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LT2,null,5.22,2024-06-18,2024-10-15,10/24,null,60248.4733,0,0,150533.126
2024-08-31,Marketable,Bills Maturity Value,912797LT2,null,5.175,2024-08-20,2024-10-15,10/24,null,90284.6527,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KU0,null,5.155,2024-04-18,2024-10-17,10/24,null,74706.232,0,0,155180.3093
2024-08-31,Marketable,Bills Maturity Value,912797KU0,null,5.195,2024-07-18,2024-10-17,10/24,null,80474.0773,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LU9,null,5.22,2024-06-25,2024-10-22,10/24,null,60249.3443,0,0,150490.4719
2024-08-31,Marketable,Bills Maturity Value,912797LU9,null,5.125,2024-08-27,2024-10-22,10/24,null,90241.1276,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797KV8,null,5.16,2024-04-25,2024-10-24,10/24,null,74289.235,0,0,154599.529
2024-08-31,Marketable,Bills Maturity Value,912797KV8,null,5.19,2024-07-25,2024-10-24,10/24,null,80310.294,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797LV7,null,5.22,2024-07-02,2024-10-29,10/24,null,60162.9824,0,0,60162.9824
2024-08-31,Marketable,Bills Maturity Value,912797HE0,null,5.135,2023-11-02,2024-10-31,10/24,null,48797.2249,0,0,210391.9509
2024-08-31,Marketable,Bills Maturity Value,912797HE0,null,5.165,2024-05-02,2024-10-31,10/24,null,77786.7902,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797HE0,null,5.145,2024-08-01,2024-10-31,10/24,null,83807.9358,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797MA2,null,5.205,2024-07-09,2024-11-05,11/24,null,60151.6103,0,0,60151.6103
2024-08-31,Marketable,Bills Maturity Value,912797LC9,null,5.155,2024-05-09,2024-11-07,11/24,null,75990.0325,0,0,158087.4133
2024-08-31,Marketable,Bills Maturity Value,912797LC9,null,5.075,2024-08-08,2024-11-07,11/24,null,82097.3808,0,0,null
2024-08-31,Marketable,Bills Maturity Value,912797MB0,null,5.195,2024-07-16,2024-11-12,11/24,null,60153.2546,0,0,60153.2546
