SettlementDate,CUSIP,CouponRate,MaturityDate,CleanPrice
9/2/2024,91282CCX7,0.00375,09/15/2024,99.8125
9/2/2024,912828YH7,0.015,09/30/2024,99.71875
9/2/2024,9128282Y5,0.02125,09/30/2024,99.78125
9/2/2024,91282CFN6,0.0425,09/30/2024,99.90625
9/2/2024,91282CDB4,0.00625,10/15/2024,99.46875
9/2/2024,912828YM6,0.015,10/31/2024,99.40625
9/2/2024,9128283D0,0.0225,10/31/2024,99.53125
9/2/2024,91282CFQ9,0.04375,10/31/2024,99.84375
9/2/2024,912828G38,0.0225,11/15/2024,99.40625
9/2/2024,91282CDH1,0.0075,11/15/2024,99.125
9/2/2024,912828YV6,0.015,11/30/2024,99.1875
9/2/2024,9128283J7,0.02125,11/30/2024,99.3125
9/2/2024,91282CFX4,0.045,11/30/2024,99.875
9/2/2024,91282CDN8,0.01,12/15/2024,98.90625
9/2/2024,91282CGD7,0.0425,12/31/2024,99.75
9/2/2024,9128283P3,0.0225,12/31/2024,99.09375
9/2/2024,912828YY0,0.0175,12/31/2024,98.9375
9/2/2024,91282CDS7,0.01125,01/15/2025,98.65625
9/2/2024,91282CGG0,0.04125,01/31/2025,99.65625
9/2/2024,912828Z52,0.01375,01/31/2025,98.5625
9/2/2024,9128283V0,0.025,01/31/2025,99.03125
9/2/2024,912828J27,0.02,02/15/2025,98.71875
9/2/2024,91282CDZ1,0.015,02/15/2025,98.5
9/2/2024,91282CGN5,0.04625,02/28/2025,99.90625
9/2/2024,9128283Z1,0.0275,02/28/2025,99
9/2/2024,912828ZC7,0.01125,02/28/2025,98.21875
9/2/2024,91282CED9,0.0175,03/15/2025,98.46875
9/2/2024,91282CGU9,0.03875,03/31/2025,99.53125
9/2/2024,912828ZF0,0.005,03/31/2025,97.625
9/2/2024,9128284F4,0.02625,03/31/2025,98.84375
9/2/2024,91282CEH0,0.02625,04/15/2025,98.78125
9/2/2024,91282CGX3,0.03875,04/30/2025,99.46875
9/2/2024,9128284M9,0.02875,04/30/2025,98.84375
